t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
0.8708,-4.287068,7.952999,-0.009345,-0.021219,0.002872,0.005182,2.18032401,57.2207
0.8750,3.384804,7.003262,0.403503,0.239239,0.164429,0.052600,2.21290724,21.1747
0.8792,-9.642241,10.051527,0.087662,0.007675,0.028133,0.014641,2.18070451,40.6928
0.8833,-3.212839,-9.815505,-0.236733,-0.134588,0.102533,0.017880,2.21641710,21.0324
0.8875,6.086549,-8.323195,-0.323395,-0.542015,0.142916,0.073559,2.18256578,43.1880
0.8917,-3.149597,-5.119110,-0.162483,-0.235232,0.071627,0.090555,2.21330264,43.1883
0.8958,5.785766,7.566302,-0.000313,-0.042086,0.001091,0.011001,2.18096789,5.3088
0.9000,-6.295450,-9.134735,-0.522487,-0.104795,0.231370,0.037638,2.21311878,5.1155
0.9042,4.120552,-7.642485,-0.397961,-0.745362,0.150347,0.138351,2.18169895,38.8436
0.9083,9.941561,-2.590998,-1.259633,-2.679509,0.551108,0.817121,2.21634728,5.8672
0.9125,9.969182,2.051184,-3.172405,-5.115058,1.049080,1.695889,2.17693214,48.4462
0.9167,6.012326,-3.379391,-2.358483,-3.630975,0.384772,0.700389,2.21377135,14.4228
0.9208,15.574029,-3.424743,-5.852102,-2.740546,2.067343,0.612432,2.17807652,51.2293
0.9250,9.504709,-3.762769,-4.122780,-2.037178,0.877564,0.572520,2.20039850,85.0526
0.9292,9.293846,9.979249,-3.213135,-0.078132,0.754949,0.008626,2.17561937,5.2584
0.9333,10.736452,-1.877477,-2.818940,-0.926194,0.946901,0.371678,2.20236368,9.9372
0.9375,-4.936951,-3.211289,-0.295402,-2.639332,0.126454,0.708195,2.16936545,10.2577
0.9417,6.475202,-3.708464,-0.561442,-3.715903,0.233042,0.694066,2.19750629,59.1268
0.9458,5.187222,-3.512912,-1.287743,-4.307251,0.283308,0.633510,2.15439599,4.6778
0.9500,4.985892,0.081298,-1.712380,-6.349161,0.270135,1.107092,2.19638532,34.3961
0.9542,5.179312,8.538906,-1.950843,-11.179557,0.273175,2.819783,2.15947726,27.2591
0.9583,14.338297,4.214103,-5.378199,-11.440271,1.261758,2.099596,2.19413265,67.3393
0.9625,11.181249,2.055526,-5.276103,-9.647150,0.884059,1.336735,2.17914510,27.3795
0.9667,9.746720,1.399464,-4.237644,-6.468295,0.592394,0.826535,2.19288998,37.2222
0.9708,16.212785,6.012782,-5.072795,-7.762524,0.885059,1.115773,2.17906882,58.9237
0.9750,11.815041,-10.653859,-4.659108,-0.028057,0.667502,0.041970,2.18989249,70.4941
0.9792,9.924079,-0.110388,-2.858399,-1.606736,0.468840,0.235833,2.12347601,26.1290
0.9833,13.685227,-4.311815,-1.200785,-1.659011,0.389339,0.213336,2.15685448,69.5294
0.9875,12.757773,-5.663375,-0.083838,-0.992626,0.309509,0.208396,2.13361704,16.7008
0.9917,2.984380,-5.974678,-0.422090,-0.378189,0.146030,0.246962,2.14103804,53.9479
0.9958,10.650027,-3.431079,-2.451594,-3.182812,0.357007,0.431816,2.13243615,30.3422
1.0000,3.888779,-1.627461,-1.413939,-6.841975,0.259228,0.898681,2.14694367,65.0554
1.0042,1.594230,-3.731974,-1.288092,-8.556202,0.193966,1.106051,2.09502436,61.5870
1.0083,6.858111,-4.812458,-5.556773,-12.716706,1.132077,1.823184,2.15126886,28.5785
1.0125,3.929895,-5.237146,-5.316190,-14.300119,0.830464,2.402580,2.05122029,64.1277
1.0167,1.047990,-8.203225,-4.166124,-12.478491,0.595458,2.120205,2.12030135,42.6341
1.0208,0.650271,-7.967349,-8.009183,-11.551599,1.340182,2.569636,2.03952387,67.1517
1.0250,1.107047,10.108313,-13.308763,-4.997545,3.399009,0.801744,2.09285911,15.8384
1.0292,-1.022308,10.038595,-11.522145,-4.556584,2.541711,1.149555,2.04143569,68.7288
1.0333,-1.950316,9.424195,-9.513262,-2.548035,2.283024,0.468368,2.07837617,67.6075
1.0375,-2.702273,8.786629,-8.878608,-4.669074,2.654902,1.349548,2.05720336,62.4738
1.0417,-1.739818,7.718210,-1.126756,-6.497228,0.159764,1.477465,2.08950727,48.3880
1.0458,-2.619445,6.126607,-2.733253,-9.513491,0.910479,2.100397,2.04946931,67.0718
1.0500,-1.509797,4.647905,-0.091817,-14.270680,0.048698,3.415348,2.11409975,51.9103
1.0542,-4.438086,1.383678,-3.884268,-18.721534,1.479754,6.093622,2.03180867,35.7991
1.0583,-6.305763,2.432033,-6.292334,-14.450483,2.232727,3.964599,2.10368105,6.1707
1.0625,-8.007006,1.360889,-9.068334,-9.952046,2.889773,3.455207,2.01495850,62.8673
1.0667,-10.355461,3.840495,-12.778839,-5.835602,4.079945,1.792688,2.08080169,56.1228
1.0708,-12.018306,3.917577,-12.904945,-2.678401,4.597313,1.022800,2.01704712,41.4100
1.0750,-10.785622,-10.335966,-8.662172,-0.393462,3.196179,0.044909,2.06172129,18.6291
1.0792,-10.547415,6.100218,-4.655653,-0.358862,1.984689,0.137863,2.05371691,28.8790
1.0833,-5.539224,5.576393,-2.434046,-1.266737,0.698328,0.462886,2.03719479,24.0230
1.0875,-4.750890,6.813992,-0.879055,-1.365320,0.365900,0.216905,2.02857949,40.0592
1.0917,-0.490934,2.250943,-0.002331,-4.702087,0.003158,1.483096,2.04382675,24.2969
1.0958,0.950853,-1.291063,0.071810,-5.602897,0.016552,2.115262,2.05341471,69.8141
1.1000,0.271180,5.634391,-0.007014,-2.295319,0.002799,0.334304,2.04559113,74.1249
1.1042,-1.509929,4.294876,-0.189019,-1.576186,0.026801,0.553277,2.01540605,29.6237
1.1083,-10.174072,4.280757,-0.540603,-0.000002,0.210958,0.002076,2.03591598,70.2173
1.1125,-7.630456,-9.898441,-2.295790,0.001587,0.828291,0.000856,2.01260471,18.5803
1.1167,-3.606274,-6.158810,-0.167511,0.322989,0.073702,0.075037,2.02936013,30.0664
1.1208,2.498303,9.759422,-0.466914,0.048825,0.185841,0.009770,1.99053209,33.0410
1.1250,2.810667,8.529574,0.137511,-0.227831,0.060657,0.045279,2.02484636,50.3383
1.1292,-3.439365,0.906639,0.431974,-0.579847,0.187897,0.211520,1.98956606,20.6675
1.1333,4.866172,-3.985148,-0.009068,0.001324,0.003057,0.000705,2.02043792,33.6170
1.1375,-5.526385,-0.568746,0.004374,-0.015843,0.002290,0.008265,1.98898311,63.0259
1.1417,2.675798,-8.100326,0.309054,0.059689,0.107786,0.015359,2.01894385,48.2952
1.1458,-0.100822,6.718247,0.216079,1.117169,0.032110,0.378013,1.99254376,56.6113
1.1500,6.683858,-2.571227,0.323469,0.250024,0.134051,0.064920,2.02001179,25.6689
1.1542,-2.891896,-2.455978,0.950232,1.250595,0.323157,0.284610,1.99136893,69.4119
1.1583,7.828172,-8.813526,0.533066,0.056163,0.227800,0.050489,2.01937240,69.1314
1.1625,7.379436,-2.038707,2.471518,1.140431,0.917000,0.281932,1.99264945,30.5041
1.1667,4.500570,-8.996362,2.118506,0.000409,0.373758,0.011250,2.01564766,68.6669
1.1708,4.830652,-2.432324,2.411801,1.028707,0.413038,0.264504,1.99764138,26.4817
1.1750,7.640922,8.309815,3.854116,1.022142,1.240896,0.248955,2.01525660,64.1490
1.1792,1.155832,-5.057398,0.087767,0.608659,0.039804,0.141754,1.99625661,12.3493
